time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-07 00:00:00+00:00,0,0,1,1
2024-10-08 00:00:00+00:00,0,0,18,4
2024-10-10 00:00:00+00:00,0,0,3,3
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-13 00:00:00+00:00,3,3,0,0
2024-10-14 00:00:00+00:00,0,0,5,2
2024-10-15 00:00:00+00:00,0,0,2,1
2024-10-16 00:00:00+00:00,0,0,1,1
2024-10-17 00:00:00+00:00,2,2,0,0
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-19 00:00:00+00:00,0,0,1,1
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,0,0,3,2
2024-10-29 00:00:00+00:00,1,1,1,1
2024-10-30 00:00:00+00:00,0,0,2,1
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,0,0,18,3
2024-11-03 00:00:00+00:00,0,0,12,3
2024-11-05 00:00:00+00:00,0,0,1,1
2024-11-06 00:00:00+00:00,0,0,9,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-14 00:00:00+00:00,0,0,9,3
2024-11-15 00:00:00+00:00,0,0,7,2
2024-11-18 00:00:00+00:00,1,1,10,2
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,9,2
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,0,0,4,2
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-12 00:00:00+00:00,0,0,2,1
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-20 00:00:00+00:00,0,0,2,1
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,1,1
2024-12-30 00:00:00+00:00,0,0,10,2
2025-01-06 00:00:00+00:00,0,0,6,2
2025-01-08 00:00:00+00:00,0,0,2,2
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,3,1
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,0,0,16,1
2025-01-25 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,1,1
2025-01-30 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,1,1,1,1
2025-02-05 00:00:00+00:00,0,0,2,1
2025-02-06 00:00:00+00:00,0,0,2,2
2025-02-07 00:00:00+00:00,0,0,1,1
2025-02-08 00:00:00+00:00,0,0,1,1
2025-02-09 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,0,0,2,2
2025-02-14 00:00:00+00:00,0,0,2,2
2025-02-15 00:00:00+00:00,0,0,3,2
2025-02-18 00:00:00+00:00,1,1,8,3
2025-02-20 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,0,0,4,3
2025-02-25 00:00:00+00:00,0,0,1,1
2025-02-27 00:00:00+00:00,1,1,3,1
2025-02-28 00:00:00+00:00,0,0,1,1
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,2,2,2,2
2025-03-06 00:00:00+00:00,2,2,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,2,1,2,1
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-20 00:00:00+00:00,1,1,3,1
2025-03-22 00:00:00+00:00,0,0,1,1
2025-03-24 00:00:00+00:00,0,0,3,2
2025-03-27 00:00:00+00:00,0,0,4,3
2025-03-29 00:00:00+00:00,0,0,1,1
2025-03-30 00:00:00+00:00,0,0,1,1
2025-04-01 00:00:00+00:00,0,0,1,1
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,0,0,8,1
2025-04-10 00:00:00+00:00,0,0,2,1
2025-04-11 00:00:00+00:00,1,1,1,1
2025-04-13 00:00:00+00:00,0,0,6,1
2025-04-21 00:00:00+00:00,0,0,1,1
2025-04-22 00:00:00+00:00,0,0,2,2
2025-04-23 00:00:00+00:00,1,1,0,0
2025-04-24 00:00:00+00:00,0,0,2,2
2025-04-25 00:00:00+00:00,1,1,1,1
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-02 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-06 00:00:00+00:00,0,0,1,1
2025-05-11 00:00:00+00:00,0,0,1,1
2025-05-19 00:00:00+00:00,1,1,4,1
2025-05-28 00:00:00+00:00,0,0,1,1
2025-05-29 00:00:00+00:00,0,0,1,1
2025-05-31 00:00:00+00:00,0,0,1,1
2025-06-01 00:00:00+00:00,1,1,0,0
2025-06-02 00:00:00+00:00,0,0,1,1
2025-06-03 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,0,0,2,1
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-17 00:00:00+00:00,1,1,1,1
2025-06-18 00:00:00+00:00,2,2,1,1
